label,x,Q2_GeV2,phi_rad,phi_deg,y,F2d,F1_fixedR,U,K2_nb_GeV2,Delta_spec,T,sigma_Ey_nb_GeV4
P1,0.044,0.737,0.000000,0.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65504267e+02
P1,0.044,0.737,0.174533,10.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65499084e+02
P1,0.044,0.737,0.349066,20.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65484158e+02
P1,0.044,0.737,0.523599,30.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65461290e+02
P1,0.044,0.737,0.698132,40.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65433239e+02
P1,0.044,0.737,0.872665,50.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65403388e+02
P1,0.044,0.737,1.047198,60.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65375336e+02
P1,0.044,0.737,1.221730,70.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65352469e+02
P1,0.044,0.737,1.396263,80.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65337543e+02
P1,0.044,0.737,1.570796,90.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65332359e+02
P1,0.044,0.737,1.745329,100.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65337543e+02
P1,0.044,0.737,1.919862,110.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65352469e+02
P1,0.044,0.737,2.094395,120.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65375336e+02
P1,0.044,0.737,2.268928,130.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65403388e+02
P1,0.044,0.737,2.443461,140.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65433239e+02
P1,0.044,0.737,2.617994,150.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65461290e+02
P1,0.044,0.737,2.792527,160.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65484158e+02
P1,0.044,0.737,2.967060,170.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65499084e+02
P1,0.044,0.737,3.141593,180.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65504267e+02
P1,0.044,0.737,3.316126,190.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65499084e+02
P1,0.044,0.737,3.490659,200.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65484158e+02
P1,0.044,0.737,3.665191,210.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65461290e+02
P1,0.044,0.737,3.839724,220.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65433239e+02
P1,0.044,0.737,4.014257,230.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65403388e+02
P1,0.044,0.737,4.188790,240.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65375336e+02
P1,0.044,0.737,4.363323,250.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65352469e+02
P1,0.044,0.737,4.537856,260.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65337543e+02
P1,0.044,0.737,4.712389,270.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65332359e+02
P1,0.044,0.737,4.886922,280.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65337543e+02
P1,0.044,0.737,5.061455,290.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65352469e+02
P1,0.044,0.737,5.235988,300.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65375336e+02
P1,0.044,0.737,5.410521,310.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65403388e+02
P1,0.044,0.737,5.585054,320.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65433239e+02
P1,0.044,0.737,5.759587,330.0000,0.811688,2.751793e-01,2.674531e+00,1.293511e-01,1.278832e+03,1.622382e-02,6.721295e-05,1.65461290e+02
